country,code,continent,region,subregion,economicState,lat,lon,gpi2014,gpi2015,gpi2016,gpi2017,gpi2018,hdi2014,hdi2015,hdi2016,hdi2017,hdi2018
Afghanistan,AFG,Asia,Southern Asia,,Developing,34.28N,69.11E,3.416,3.427,3.538,3.567,3.585,0.491,0.493,0.494,0.498,0.498
Albania,ALB,Europe,Southern Europe,,Developed,41.18N,19.49E,1.939,1.821,1.867,1.908,1.849,0.773,0.776,0.782,0.785,0.785
Algeria,DZA,Africa,Northern Africa,,Developing,36.42N,03.08E,2.239,2.131,2.213,2.201,2.182,0.747,0.749,0.753,0.754,0.754
Angola,AGO,Africa,Sub-Saharan Africa,Middle Africa,Developing,08.50S,13.15E,2.143,2.02,2.14,2.116,2.048,0.564,0.572,0.577,0.581,0.581
Argentina,ARG,Americas,Latin America and the Caribbean,South America,Developing,36.30S,60.00W,1.789,1.865,1.957,1.8812,1.947,0.82,0.822,0.822,0.825,0.825
Armenia,ARM,Asia,Western Asia,,Developing,40.10N,44.31E,2.097,2.028,2.218,2.22,2.287,0.745,0.748,0.749,0.755,0.755
Australia,AUS,Oceania,Australia and New Zealand,,Developed,35.15S,149.08E,1.414,1.329,1.465,1.425,1.435,0.933,0.936,0.938,0.939,0.939
Austria,AUT,Europe,Western Europe,,Developed,48.12N,16.22E,1.2,1.198,1.278,1.265,1.274,0.901,0.903,0.906,0.908,0.908
Azerbaijan,AZE,Asia,Western Asia,,Developing,40.29N,49.56E,2.365,2.325,2.45,2.426,2.454,0.758,0.758,0.757,0.757,0.757
Bahrain,BHR,Asia,Western Asia,,Developing,26.10N,50.30E,2.225,2.142,2.398,2.404,2.437,0.81,0.832,0.846,0.846,0.846
Bangladesh,BGD,Asia,Southern Asia,,Developing,23.43N,90.26E,2.106,1.997,2.045,2.035,2.084,0.583,0.592,0.597,0.608,0.608
Belarus,BLR,Europe,Eastern Europe,,Developed,53.52N,27.30E,2.078,2.173,2.202,2.141,2.112,0.807,0.805,0.805,0.808,0.808
Belgium,BEL,Europe,Western Europe,,Developed,50.51N,04.21E,1.354,1.368,1.528,1.525,1.56,0.909,0.913,0.915,0.916,0.916
Benin,BEN,Africa,Sub-Saharan Africa,Western Africa,Developing,06.23N,02.42E,2.129,1.958,1.998,2.014,1.973,0.505,0.508,0.512,0.515,0.515
Bhutan,BTN,Asia,Southern Asia,,Developing,27.31N,89.45E,1.422,1.416,1.445,1.474,1.545,0.599,0.603,0.609,0.612,0.612
Botswana,BWA,Africa,Sub-Saharan Africa,Southern Africa,Developing,24.45S,25.57E,1.678,1.597,1.639,1.622,1.659,0.701,0.706,0.712,0.717,0.717
Brazil,BRA,Americas,Latin America and the Caribbean,South America,Developing,15.47S,47.55W,2.073,2.122,2.176,2.199,2.16,0.752,0.757,0.758,0.759,0.759
Bulgaria,BGR,Europe,Eastern Europe,,Developed,42.45N,23.20E,1.637,1.607,1.646,1.631,1.635,0.797,0.807,0.81,0.813,0.813
Burkina Faso,BFA,Africa,Sub-Saharan Africa,Western Africa,Developing,12.15N,01.30W,1.998,1.994,2.063,2.07,2.029,0.405,0.412,0.42,0.423,0.423
Burundi,BDI,Africa,Sub-Saharan Africa,Eastern Africa,Developing,03.16S,29.18E,2.418,2.323,2.5,2.641,2.488,0.421,0.418,0.418,0.417,0.417
Cambodia,KHM,Asia,South-eastern Asia,,Developing,11.33N,104.55E,2.201,2.179,2.161,2.06515,2.101,0.566,0.571,0.576,0.582,0.582
Cameroon,CMR,Africa,Sub-Saharan Africa,Middle Africa,Developing,03.50N,11.35E,2.235,2.349,2.356,2.39,2.484,0.543,0.548,0.553,0.556,0.556
Canada,CAN,Americas,Northern America,,Developed,45.27N,75.42W,1.306,1.287,1.388,1.371,1.372,0.918,0.92,0.922,0.926,0.926
Central African Republic,CAF,Africa,Sub-Saharan Africa,Middle Africa,Developing,04.23N,18.35E,3.331,3.332,3.354,3.213,3.236,0.349,0.357,0.362,0.367,0.367
Chad,TCD,Africa,Sub-Saharan Africa,Middle Africa,Developing,12.10N,14.59E,2.558,2.429,2.464,2.495,2.498,0.403,0.407,0.405,0.404,0.404
Chile,CHL,Americas,Latin America and the Caribbean,South America,Developing,33.24S,70.40W,1.591,1.563,1.635,1.595,1.649,0.833,0.84,0.842,0.843,0.843
China,CHN,Asia,Eastern Asia,,Developing,39.55N,116.20E,2.207,2.267,2.288,2.242,2.243,0.738,0.743,0.748,0.752,0.752
Colombia,COL,Americas,Latin America and the Caribbean,South America,Developing,04.34N,74.00W,2.701,2.72,2.764,2.777,2.729,0.738,0.742,0.747,0.747,0.747
Congo,COG,Africa,Sub-Saharan Africa,Middle Africa,Developing,04.09S,15.12E,2.211,2.196,2.249,2.334,2.343,0.595,0.613,0.612,0.606,0.606
Cote d'Ivoire,CIV,Africa,Sub-Saharan Africa,Western Africa,Developing,06.49N,05.17W,2.52,2.133,2.279,2.307,2.207,0.465,0.478,0.486,0.492,0.492
Croatia,HRV,Europe,Southern Europe,,Developed,45.50N,15.58E,1.548,1.55,1.633,1.665,1.639,0.824,0.827,0.828,0.831,0.831
Cuba,CUB,Americas,Latin America and the Caribbean,Caribbean,Developing,23.08N,82.22W,1.986,1.988,2.057,2.056,2.037,0.768,0.772,0.774,0.777,0.777
Cyprus,CYP,Asia,Western Asia,,Developed,35.10N,33.25E,1.844,1.924,1.994,1.94,1.913,0.856,0.86,0.867,0.869,0.869
Democratic Republic of the Congo,COD,Africa,Sub-Saharan Africa,Middle Africa,Developing,04.20S,15.15E,3.213,3.085,3.112,3.061,3.251,0.436,0.444,0.452,0.457,0.457
Denmark,DNK,Europe,Northern Europe,,Developed,55.41N,12.34E,1.193,1.15,1.246,1.337,1.353,0.928,0.926,0.928,0.929,0.929
Djibouti,DJI,Africa,Sub-Saharan Africa,Eastern Africa,Developing,11.08N,42.20E,1.979,2.113,2.292,2.19614,2.269,0.467,0.47,0.474,0.476,0.476
Timor-Leste,TLS,Asia,South-eastern Asia,,Developing,08.29S,125.34E,1.947,1.86,1.879,1.866,1.895,0.61,0.63,0.631,0.625,0.625
Ecuador,ECU,Americas,Latin America and the Caribbean,South America,Developing,00.15S,78.35W,2.042,1.997,2.02,1.9481,1.987,0.742,0.743,0.749,0.752,0.752
Egypt,EGY,Africa,Northern Africa,,Developing,30.01N,31.14E,2.571,2.382,2.574,2.583,2.632,0.683,0.691,0.694,0.696,0.696
Equatorial Guinea,GNQ,Africa,Sub-Saharan Africa,Middle Africa,Developing,03.45N,08.50E,2.079,1.987,1.94,1.93,1.946,0.59,0.593,0.593,0.591,0.591
