country,ccode,region,ageBucket,arrival,familyStatus,gender,gpi,hdi,count
Mali,mli,Western Africa,9-17,8-2017,S,F,2.596,0.427,1
Mali,mli,Western Africa,9-17,7-2016,S,F,2.489,0.421,1
Mali,mli,Western Africa,9-17,4-2017,S,M,2.596,0.427,1
Mali,mli,Western Africa,9-17,2-2018,F,F,2.686,0.427,1
Mali,mli,Western Africa,9-17,7-2018,F,M,2.686,0.427,2
Mali,mli,Western Africa,9-17,7-2018,F,F,2.686,0.427,1
Mali,mli,Western Africa,9-17,7-2018,S,F,2.686,0.427,1
Mali,mli,Western Africa,9-17,6-2015,S,M,2.31,0.418,1
Mali,mli,Western Africa,9-17,7-2017,F,M,2.596,0.427,1
Mali,mli,Western Africa,9-17,7-2017,F,F,2.596,0.427,1
Mali,mli,Western Africa,9-17,9-2018,S,M,2.686,0.427,1
Mali,mli,Western Africa,9-17,5-2017,S,M,2.596,0.427,1
Mali,mli,Western Africa,18-29,6-2016,S,M,2.489,0.421,1
Mali,mli,Western Africa,18-29,6-2018,S,F,2.686,0.427,3
Mali,mli,Western Africa,18-29,7-2018,F,M,2.686,0.427,1
Mali,mli,Western Africa,18-29,7-2018,S,M,2.686,0.427,1
Mali,mli,Western Africa,18-29,10-2016,S,F,2.489,0.421,1
Mali,mli,Western Africa,18-29,10-2018,S,F,2.686,0.427,1
Mali,mli,Western Africa,18-29,11-2015,S,M,2.31,0.418,1
Mali,mli,Western Africa,18-29,3-2016,S,M,2.489,0.421,1
Mali,mli,Western Africa,18-29,10-2017,S,F,2.596,0.427,1
Mali,mli,Western Africa,18-29,2-2018,F,F,2.686,0.427,1
Mali,mli,Western Africa,18-29,2-2018,S,M,2.686,0.427,1
Mali,mli,Western Africa,18-29,3-2015,F,M,2.31,0.418,1
Mali,mli,Western Africa,18-29,3-2015,F,F,2.31,0.418,1
Mali,mli,Western Africa,18-29,3-2015,S,M,2.31,0.418,1
Mali,mli,Western Africa,18-29,6-2015,S,M,2.31,0.418,1
Mali,mli,Western Africa,18-29,11-2017,S,F,2.596,0.427,1
Mali,mli,Western Africa,18-29,4-2015,S,F,2.31,0.418,1
